Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2016-01-01 00:00:00.000 +0100,Clear,snow,-6.361111111,-9.361111111,0.82,6.0858,121,15.8263,0,1032.01,Mostly cloudy starting in the morning.
2016-01-01 01:00:00.000 +0100,Clear,snow,-7.9,-7.9,0.89,3.22,140,14.8764,0,1031.85,Mostly cloudy starting in the morning.
2016-01-01 02:00:00.000 +0100,Clear,snow,-8.522222222,-11.82777778,0.88,6.0536,138,15.7297,0,1031.62,Mostly cloudy starting in the morning.
2016-01-01 03:00:00.000 +0100,Clear,snow,-8.561111111,-12.07222222,0.88,6.44,140,15.7297,0,1031.31,Mostly cloudy starting in the morning.
2016-01-01 04:00:00.000 +0100,Partly Cloudy,snow,-8.577777778,-11.64444444,0.92,5.5867,137,14.0875,0,1031.04,Mostly cloudy starting in the morning.
2016-01-01 05:00:00.000 +0100,Partly Cloudy,snow,-9.144444444,-9.144444444,0.92,3.22,180,14.812,0,1030.82,Mostly cloudy starting in the morning.
2016-01-01 06:00:00.000 +0100,Partly Cloudy,snow,-9.166666667,-9.166666667,0.92,3.0751,160,11.8979,0,1030.43,Mostly cloudy starting in the morning.
2016-01-01 07:00:00.000 +0100,Partly Cloudy,snow,-10.11111111,-10.11111111,0.92,1.7227,67,6.7781,0,1030.32,Mostly cloudy starting in the morning.
2016-01-01 08:00:00.000 +0100,Partly Cloudy,snow,-8.122222222,-12.27222222,0.84,8.05,130,6.9874,0,1030.4,Mostly cloudy starting in the morning.
2016-01-01 09:00:00.000 +0100,Partly Cloudy,snow,-5.272222222,-5.272222222,0.76,4.7012,161,9.7566,0,1030.32,Mostly cloudy starting in the morning.
2016-01-01 10:00:00.000 +0100,Partly Cloudy,snow,-3.905555556,-3.905555556,0.75,4.5241,182,7.7602,0,1030.5,Mostly cloudy starting in the morning.
2016-01-01 11:00:00.000 +0100,Partly Cloudy,snow,-2.222222222,-4.011111111,0.66,4.8461,181,8.05,0,1030.17,Mostly cloudy starting in the morning.
2016-01-01 12:00:00.000 +0100,Partly Cloudy,snow,-2.105555556,-5.138888889,0.6,7.8407,183,12.2199,0,1029.67,Mostly cloudy starting in the morning.
2016-01-01 13:00:00.000 +0100,Mostly Cloudy,snow,-1.111111111,-4.361111111,0.54,9.0965,223,11.8818,0,1028.76,Mostly cloudy starting in the morning.
2016-01-01 14:00:00.000 +0100,Mostly Cloudy,snow,-1.133333333,-4.477777778,0.6,9.3863,203,11.9784,0,1028.19,Mostly cloudy starting in the morning.
2016-01-01 15:00:00.000 +0100,Mostly Cloudy,snow,-2.2,-2.2,0.66,4.6851,195,11.9784,0,1027.81,Mostly cloudy starting in the morning.
2016-01-01 16:00:00.000 +0100,Mostly Cloudy,snow,-2.172222222,-5.405555556,0.65,8.3881,206,14.9569,0,1028.11,Mostly cloudy starting in the morning.
2016-01-01 17:00:00.000 +0100,Overcast,snow,-2.222222222,-5.727777778,0.69,9.2575,201,15.8263,0,1027.61,Mostly cloudy starting in the morning.
2016-01-01 18:00:00.000 +0100,Overcast,snow,-2.777777778,-7.355555556,0.72,12.88,240,15.8263,0,1027.41,Mostly cloudy starting in the morning.
2016-01-01 19:00:00.000 +0100,Overcast,snow,-2.794444444,-6.233333333,0.79,8.694,221,14.168,0,1027.64,Mostly cloudy starting in the morning.
2016-01-01 20:00:00.000 +0100,Overcast,snow,-2.85,-2.85,0.79,3.1556,242,14.9086,0,1027.7,Mostly cloudy starting in the morning.
2016-01-01 21:00:00.000 +0100,Overcast,snow,-3.355555556,-3.355555556,0.86,3.22,220,14.9086,0,1027.89,Mostly cloudy starting in the morning.
2016-01-01 22:00:00.000 +0100,Overcast,snow,-3.338888889,-3.338888889,0.86,2.7853,200,14.0875,0,1027.73,Mostly cloudy starting in the morning.
2016-01-01 23:00:00.000 +0100,Partly Cloudy,snow,-4.522222222,-4.522222222,0.93,3.22,180,11.8013,0,1027.71,Mostly cloudy starting in the morning.
2016-01-02 00:00:00.000 +0100,Partly Cloudy,snow,-5.105555556,-5.105555556,0.96,3.22,160,9.5634,0,1027.51,Partly cloudy until night.
2016-01-02 01:00:00.000 +0100,Partly Cloudy,snow,-6.105555556,-8.938888889,0.95,5.8443,108,9.66,0,1027.4,Partly cloudy until night.
2016-01-02 02:00:00.000 +0100,Partly Cloudy,snow,-7.166666667,-7.166666667,0.92,3.22,130,9.6117,0,1027.2,Partly cloudy until night.
2016-01-02 03:00:00.000 +0100,Clear,snow,-7.188888889,-7.188888889,0.92,3.1717,118,7.8085,0,1027.39,Partly cloudy until night.
2016-01-02 04:00:00.000 +0100,Foggy,snow,-6.8,-6.8,0.92,3.3327,145,2.6404,0,1027.29,Partly cloudy until night.
2016-01-02 05:00:00.000 +0100,Partly Cloudy,snow,-7.744444444,-11.68333333,1,7.6797,110,5.8765,0,1027.18,Partly cloudy until night.
