"Cdur","Cpur","Camt","Prop","age","creditScore"
9,"Business",13790,"real estate",27,"good"
15,"electronics",15250,"real estate",50,"good"
36,"Business",19410,"Unknown",61,"bad"
48,"Business",144090,"Other cars etc.",25,"bad"
24,"electronics",31690,"life insurance/building society",26,"good"
27,"renovation",51780,"life insurance/building society",48,"good"
12,"electronics",21590,"Other cars etc.",29,"good"
12,"second hand vehicle",9950,"real estate",22,"good"
36,"education",18070,"Unknown",37,"bad"
36,"electronics",23820,"Other cars etc.",25,"good"
36,"new vehicle",81210,"life insurance/building society",30,"good"
7,"electronics",7180,"life insurance/building society",46,"good"
8,"miscellaneous",11520,"Unknown",51,"good"
42,"Business",59420,"real estate",41,"good"
36,"education",19650,"Unknown",40,"bad"
12,"new vehicle",15140,"Unknown",66,"good"
42,"electronics",39530,"Other cars etc.",34,"bad"
11,"electronics",47590,"life insurance/building society",51,"good"
54,"new vehicle",94240,"life insurance/building society",39,"good"
30,"furniture",38200,"life insurance/building society",22,"good"
24,"electronics",59310,"Other cars etc.",44,"bad"
15,"electronics",12010,"life insurance/building society",47,"good"
18,"Business",15560,"life insurance/building society",24,"good"
24,"miscellaneous",17430,"real estate",58,"good"
10,"electronics",23030,"real estate",52,"good"
12,"Business",14000,"real estate",29,"good"
18,"furniture",12830,"life insurance/building society",27,"good"
36,"education",126000,"Unknown",47,"bad"
18,"second hand vehicle",22370,"Other cars etc.",30,"good"
12,"renovation",10960,"real estate",28,"bad"
12,"electronics",6060,"real estate",56,"good"
12,"new vehicle",13970,"real estate",54,"good"
12,"electronics",7850,"life insurance/building society",33,"bad"
24,"furniture",36050,"Unknown",20,"good"
12,"second hand vehicle",13060,"real estate",54,"good"
54,"Business",159330,"Unknown",58,"bad"
12,"education",20000,"Other cars etc.",61,"good"
18,"Business",26100,"Other cars etc.",34,"good"
36,"electronics",23250,"real estate",36,"good"
20,"new vehicle",70450,"life insurance/building society",36,"good"
24,"second hand vehicle",14570,"real estate",41,"good"
36,"electronics",23110,"Other cars etc.",24,"good"
6,"electronics",9200,"real estate",24,"good"
9,"furniture",19070,"Other cars etc.",35,"good"
12,"new vehicle",24330,"Other cars etc.",26,"good"
24,"miscellaneous",119260,"Other cars etc.",39,"bad"
18,"second hand vehicle",64460,"Unknown",39,"bad"
12,"second hand vehicle",60660,"Other cars etc.",32,"good"
24,"furniture",77090,"life insurance/building society",30,"good"
14,"Business",13980,"real estate",35,"good"
6,"Business",14370,"Other cars etc.",31,"good"
15,"education",3800,"life insurance/building society",23,"good"
18,"second hand vehicle",62480,"real estate",28,"good"
36,"second hand vehicle",78430,"real estate",25,"bad"
12,"electronics",16680,"real estate",35,"good"
48,"electronics",35660,"real estate",47,"good"
42,"electronics",71620,"Other cars etc.",30,"bad"
10,"furniture",21200,"real estate",27,"good"
33,"furniture",42690,"Other cars etc.",23,"bad"
12,"second hand vehicle",23540,"Other cars etc.",36,"good"
21,"electronics",18230,"real estate",25,"bad"
24,"new vehicle",38560,"Other cars etc.",41,"good"
12,"furniture",17560,"real estate",24,"good"
10,"second hand vehicle",7690,"Unknown",63,"good"
18,"furniture",19120,"real estate",27,"bad"
12,"second hand vehicle",21090,"life insurance/building society",30,"good"
12,"electronics",6890,"real estate",40,"good"
12,"renovation",6270,"Other cars etc.",30,"bad"
12,"new vehicle",18480,"Other cars etc.",34,"good"
12,"second hand vehicle",34870,"real estate",29,"bad"
48,"second hand vehicle",84750,"Other cars etc.",24,"good"
36,"education",68750,"life insurance/building society",29,"bad"
15,"furniture",26960,"life insurance/building society",27,"good"
18,"furniture",19720,"Unknown",47,"good"
60,"electronics",101320,"real estate",21,"good"
12,"electronics",12280,"real estate",38,"good"
27,"new vehicle",86010,"Other cars etc.",27,"good"
12,"electronics",7540,"real estate",66,"bad"
15,"electronics",27160,"real estate",35,"good"
12,"electronics",18690,"Other cars etc.",44,"good"
6,"second hand vehicle",6970,"real estate",27,"good"
36,"electronics",47830,"Unknown",30,"good"
27,"electronics",34040,"Other cars etc.",27,"good"
18,"furniture",24500,"Other cars etc.",22,"bad"
21,"furniture",22760,"life insurance/building society",23,"good"
48,"Business",35540,"Other cars etc.",30,"good"
6,"second hand vehicle",8480,"Unknown",39,"good"
12,"second hand vehicle",6700,"Other cars etc.",51,"good"
36,"furniture",53590,"life insurance/building society",28,"good"
18,"electronics",15700,"Other cars etc.",46,"good"
6,"electronics",13340,"Unknown",42,"good"
10,"electronics",19120,"life insurance/building society",38,"good"
36,"electronics",58360,"Other cars etc.",24,"good"
24,"new vehicle",77460,"Unknown",29,"good"
24,"Business",69550,"Other cars etc.",36,"good"
12,"furniture",12700,"Other cars etc.",20,"bad"
9,"renovation",12760,"real estate",48,"good"
12,"retaining",3270,"Other cars etc.",45,"good"
24,"second hand vehicle",35000,"Other cars etc.",38,"good"
6,"electronics",18860,"real estate",34,"good"
24,"electronics",28600,"real estate",36,"good"
18,"second hand vehicle",10430,"life insurance/building society",30,"good"
15,"domestic needs",12500,"life insurance/building society",36,"good"
10,"second hand vehicle",72960,"Unknown",70,"good"
36,"second hand vehicle",8970,"life insurance/building society",36,"good"
6,"furniture",29660,"Other cars etc.",32,"good"
18,"furniture",11190,"Other cars etc.",33,"bad"
11,"furniture",15650,"real estate",20,"good"
24,"furniture",39600,"life insurance/building society",25,"good"
24,"Business",19230,"real estate",31,"bad"
15,"second hand vehicle",9380,"Other cars etc.",33,"bad"
12,"furniture",7510,"real estate",26,"good"
24,"furniture",20520,"life insurance/building society",34,"bad"
